id;calle;codigo_postal;ciudad;provincia
1;until;essence loftily;saloon cinder babushka;accessorise
2;er gnash safe;but appertain because;emerge;since scaly
3;supposing but wherever;ostrich finally limited;mountain miserably if;slather
4;for;joyously gaseous;for;euphonium
5;cinder furthermore;positively catalog;whoa;qualified careless inside
6;awkwardly prance gosh;tomb;whoa;wrongly
7;drat drive;yowza;that;instructor
8;yowza intellect part;or overcoat worriedly;incomparable dishonor overconfidently;whoever
9;conservation;unzip;pantyhose;boohoo
10;presume instantly;cuckoo;battle;uh-huh yuck outbid
