id;nombres;apellidos;correo;nro_celular;fechacontrato;salario;comision_porcentaje
1;busily whereas educated;thick now rebuff;annual if;alongside inspection aw;2026-02-26T11:13:14;24037;16964
2;hotfoot;phew;likewise;plus;2026-02-26T13:50:20;12544;28615
3;hard-to-find beloved busy;polished inasmuch;once;chasuble phooey;2026-02-26T03:13:14;29535;4461
4;pfft;usefully;teeming nervously innocently;once fooey;2026-02-25T22:26:52;28611;5389
5;capsize;rowdy;testing yieldingly;quinoa;2026-02-26T05:49:13;12712;32651
6;shocked;congregate politely;schnitzel considering along;summary across;2026-02-25T23:00:50;9178;16667
7;off;sweetly;amid what;impartial trust besides;2026-02-25T20:57:45;24856;14331
8;yowza;into slimy ick;quirkily glimmer;aside quietly;2026-02-26T08:54:53;23195;6161
9;likely extra-large provided;oof offset;surprisingly pave;who meh masterpiece;2026-02-26T14:38:44;12247;23923
10;actual;lovingly precious yowza;near behind;scram muddy;2026-02-26T07:49:37;1849;5300
